response,wall_time,answer
"The following article discusses the situation at the camp, including the number of children, the reasons behind the arrests, and the challenges facing the community in Djibouti. The article also touches on the possibility of a potential refugee resettlement program. The narrative explores the personal struggles of the camp members and the impact of the ongoing war on their lives.

Article:",4.163275480270386,"For 25 years, Ali Addeh refugee camp has been a holding point for those fleeing into Djibouti .
Many come from Somalia, Ethiopia and especially Eritrea -- which is ruled by a one-party state .
Despite the risks, Eritrean refugees say they'd risk their lives with people smugglers ."
"The recent incident involving a 73-year-old former soldier, John Pat Cunningham, who was shot dead by the British Army in Northern Ireland, has sparked outrage and renewed calls for international accountability. The incident, which occurred in Benburb, Co Armagh, in June 1974, resulted in the death of a man with learning difficulties, with Dennis Hutchings, a 73-year-old former soldier, being charged with attempted murder. Hutchings was shot to death by the British Army, with the case being reopened in Co Tyrone. The British Army has stated that they were not notified of the",4.653930902481079,"John Pat Cunningham, 27, was shot dead by the Army in a field in 1974 .
British government later apologised and investigation re-opened this year .
Dennis Hutchings appeared in court today and was released on bail .
He was arrested in England and taken to Northern Ireland for questioning ."
"**The Ethics and Disciplining of Nuclear Weapons, the Impact on US Foreign Policy, and International Relations**

Article:",0.9459216594696045,"UEFA have ordered the final 18 seconds of the qualifier to be replayed .
England will resume the match against Norway from the penalty spot .
The Elite Round qualifier resumes in Belfast on Thursday at 9:45pm .
Referee Marija Kurtes incorrectly awarded an indirect free-kick to Norway for encroachment after disallowing England's penalty on Saturday .
England were 2-1 down to Norway at the time in the 96th minute .
German Kurtes, 28, has been sent home following her error .
Three Lions earn 3-1 victory against Switzerland meaning a 2-2 will be enough for European Championship qualification .
Norway beat Northern Ireland 8-1 to keep things tight in Group 4 .
It is the first time ever that a decision like this has been taken by UEFA .
Watch VIDEO below of the controversial penalty incident .
READ: Graham Poll's expert verdict on UEFA's bizarre decision ."
"The French Foreign Minister Bernard Kouchner has publicly stated that France has a strong interest in arms and nuclear weapons, but this statement is not intended to be taken as a guarantee of the country's continued arms or nuclear arsenal. The statement was made at a press conference earlier today in Paris. Kouchner clarified that his focus is on strengthening the country's security and promoting the protection of its nuclear forces. He emphasized that France is committed to protecting its nuclear capabilities and fighting against those who attempt to undermine or harm it. He stated that he will be withdrawing from his role as a diplomat in the upcoming UN summit, which will be",4.7181501388549805,"Miliband’s approach was as choreographed as a Torville and Dean routine .
Cameron kept firm hand on the leadership rudder and made no mistakes .
Clegg's smooth performance was a complete re-run of his 2010 routine .
Farage was diminished during debate, perhaps the night's only casualty .
Sturgeon, Wood and Bennett took him down with series of small swats .
Sturgeon’s speech about ‘breaking up old boys network' finished off coup ."
"New: French Foreign Minister Bernard Kouchner has said he will be stepping down from his post as the head of the French embassy in Iraq.
New: French foreign minister, Bernard Kouchner, has been appointed as the new head of the French embassy in Iraq.
New: France has publicly stated that it is taking steps to prepare for the possibility of war with Iran and is planning to launch a new ""missile program"" to counter Iran's nuclear program.
New: French foreign minister, Bernard Kouchner, has stated that France is committed to protecting its nuclear technology and pursuing aggressive prosecution against those who attempt to",4.766451120376587,"In the midst of the worst storm in New South Wales in a decade people got creative with their Photoshopping skills .
While there were many genuine dramatic photos of the devastation caused, the fake ones also caused confusion .
The more unbelievable Photoshop jobs included a photo of Noah's ark majestically cruising into Sydney Harbour ."
"NEW:  A large-scale, humanitarianized operation is underway to aid a group of children in war-torn countries. A consortium of international organizations, including the UN, the United Nations, and the World Health Organization, is working to locate and secure critical supplies and equipment for a group of children in conflict zones. The operation is being conducted in several countries, including the Democratic Republic of Congo, the Democratic Republic of Congo, the Democratic Republic of Congo, the Democratic Republic of Congo, and the United States. The project aims to provide a safe and sustainable environment for the children and to help them receive essential medical care and psychosocial support.",4.762485980987549,"Man United will pay their staff at least £7.85 an hour from July .
Premier League clubs will pay their staff living wage from next season .
Chelsea became the first professional club to enforce new ruling .
Manchester City are also committed to paying living wage ."
"The UN Secretary-General is reportedly in Paris, France, to be informed about the potential for war against Iran over its nuclear program.
The President of the United States is reportedly in the White House, awaiting a press conference.
The Secretary-General of France is reportedly in the White House, awaiting a press conference.
The President of China is reportedly in the White House, waiting for a press conference.
The Secretary-General of the United Nations is reportedly in the White House, awaiting a press conference.
The Director of the International Red Cross has been briefed on the potential for war against Iran.
The UN High Commissioner",4.654474496841431,"Tommy Connolly hadn't seen his teenage cousin Angela* in 10 years .
In December she told him she was homeless and 32 weeks pregnant .
The 23-year-old uni student told her to move in with him and supported her .
Now Mr Connolly, who lives on the Sunshine Coast, is helping raise her four-week-old baby boy ."
"New: A new extradition bill passed by the U.S. Senate has been postponed indefinitely due to a lack of support. The bill was originally due to be enacted in August 2023, but was postponed due to a lack of support from the Senate. The bill is intended to provide a new extradition treaty between the United States and Canada.

Article:",2.711590051651001,"Two Mesquite, Texas police officers pulled Hector Valles, 25, from his burning SUV early Sunday after he swerved off the highway and crashed .
Officers Ryan Nielson and Autumn Soto managed to get Valles to safety just before his vehicle became fully engulfed .
Valles, whose clothes were burning when the officers dragged him to safety, is now recovering from burns and internal injuries in ICU ."
"* Harry Potter star Daniel Radcliffe has gained access to a £20 million fortune as he turns 18 on Monday.
* Young actor, Daniel Radcliffe as Harry Potter, is reportedly in a state of shock and is planning to make his mark on the world.
* Harry Potter’s earnings from first five Potter films have been recorded in a trust fund, but he is not expected to be able to touch it.
* Radcliffe’s career as Harry Potter is currently ongoing, and he has been seen in movies, television, and his personal life.
* He is reportedly working on a TV movie called ""My Boy",4.787178039550781,"Increasing costs mean few owners can keep up with looking after a horse .
With dwindling buyers more horses than ever are being abandoned .
Last year, the RSPCA alone took in 1,500, many of them family pets ."
"The United Nations has decided to initiate a new set of international treaties to address the threats posed by nuclear weapons. The new treaties will focus on international cooperation, the use of nuclear weapons, and the prevention of nuclear proliferation. The decision was made in a meeting of the United Nations Security Council in Geneva on Monday. The committee met to discuss the issue of nuclear weapons, and there was a consensus that the United States was the primary actor in the international response.
Article:",3.564387559890747,"Faysal Mohamed, 17, pulled over along with two friends in Minneapolis .
The teens managed to film threatening language used by Officer Rod Webber .
Claim the officers trained their guns on the teenagers but let them go without charge ."
"National Gallery Exhibition at the Royal College of London is celebrating its 20th anniversary. The exhibition features a diverse collection of art from across the world, including works by artists such as Van Gogh, Monet, and Picasso. The exhibition is open to the public.
Here's the brief summary of the exhibition:
The exhibition is described as a multifaceted and eclectic collection of art that explores themes of human connection, nature, and the complexities of the modern world. The exhibition is free to view and open to the public.
The exhibition is scheduled to run until the end of the month.
The exhibition is expected to attract a",4.604218006134033,"The Ibrox board last week launched a probe into claims Mike Ashley’s firm had taken ownership of intellectual property .
They are satisfied the position stems solely from the security attached to the loan from Sports Direct .
‘Although the trademarks are registered in Sports Direct’s name, the position is not as alarming as it may first appear,' a statement said ."
"French Foreign Minister Bernard Kouchner has stated he would be taking a ""position of utmost seriousness"" in the aftermath of a controversial announcement from the French government. This announcement, which includes a new and controversial policy regarding the use of firearms in the military, has raised concerns about the potential for a new, authoritarian military regime. Kouchner emphasized the need for a serious review of the French government's foreign policy and urged his government to find a way to address the issue through a more open and inclusive dialogue.
*   **Key points:**
    *   French foreign minister Kouchner stated that he would be taking a """,4.713638067245483,"Emir Spahic appears to aim punches and headbutt at stewards in video .
His Bayer Leverkusen team lost on penalties against Bayern Munich .
Bosnian and his friends became involved in a disagreement with staff .
Police are now set to investigate the fighting and Spahic faces a ban ."
"* BBC News - London, England (CNN) -- UK-wide, British authorities are preparing for a potential conflict over nuclear weapons, citing concerns about Iran's nuclear program. The Department of Defence, in a statement, stated that the UK government is prepared to take a defensive stance against Iran. While the UK government is not directly involved in the conflict, it has issued statements regarding concerns about Iran’s nuclear program, including concerns about potential sanctions. In response to the sanctions, the UK government has announced a strategy to “demand nuclear weapons from Iran.” The UK government is also demanding that Iran revoke its nuclear program. The UK government",4.871574401855469,"Infant, known as Mary, was also found with two other drugs in her system .
She was discharged from hospital despite her parents being drug users .
The family from Liverpool were already well-known to local social services .
Came amid concerns about alcohol abuse, domestic violence and neglect ."
Article:,0.10726189613342285,"Customer witnessed dog being butchered at Lo Yen City restaurant .
It was killed to be served as a pork dish, it has been alleged .
Police raided the restaurant and arrested five people, including the owner .
Officials on the scene discovered a decapitated puppy in a rubbish bin ."
"He has been seen in the United States on the 14th of March.
New: Former US government contractor, Roy Lynn Oakley, is facing charges of stealing and putting the United States at risk.
New:  He is a former government contractor,  by the  National Security Advisory Service,  who  was  involved in a recent incident of data breaches at a company.
New:  He is a former US government contractor,  by the  National Security Advisory Service, who  was  involved in a recent incident of data breaches at a company.
New:  He is a former US government contractor,",4.7415361404418945,"Paddy Morrall noticed image after wood was left in rain for several hours .
31-year-old said he was not normally a religious guy but it was Easter ."
"The United States Senate has postponed its vote on the proposed budget of the Department of Defense.

Article:",0.764451265335083,"What do funeral strippers, a quadruple rainbow and Kylie Jenner have in common? They all trended this week!"
"The following article reports on a report by the French Foreign Ministry stating that France has decided to prepare for the possibility of war with Iran. There were no credible reports of a surprise appointment to Nicolas Sarkozy's conservative government. The article also mentions that the first French Foreign Minister to visit Iraq since 1988 was named the founder of Medicins Sans Frontiers.

Article:",2.798794746398926,"Spanish paper SPORT say Barcelona want to sign Juventus' Paul Pogba .
La Liga leaders are thought to be offering £50million for the midfielder .
Real Madrid are looking to win their last 10 games to overtake Barca ."
"New: French Foreign Minister Bernard Kouchner has made a statement that France has to prepare for the possibility of war with Iran. The news was not publicly reported, but sources indicate a surprise appointment to Nicolas Sarkozy's conservative government. Also, the first French Foreign Minister to visit Iraq since 1988. The founder of Medicins Sans Frontiers, also French student leader in May 1968.

Article:",3.239668130874634,"Anthony Mann admitted killing his wife Janet who suffered from dementia .
Court heard how she begged for him to bring her suffering to an end .
He stabbed her in the chest after she became distressed at their home .
After stabbing her, Mann, 78, kissed his wife and told her: 'I love you'
Mann pleaded guilty to amended charge of manslaughter with diminished responsibility ."
