response,wall_time,answer
"A Eritrean refugee camp discusses the difficulties of seeking resettlement in Europe and the lack of trust from the international community. Henol's friend died trying to make it to Europe. Refugee hope and despair.
Copyright 2007 CNN. All rights reserved.
E-mail to a friend.
Copyright 2007 CNN. All rights reserved.
```
",4.728575944900513,"For 25 years, Ali Addeh refugee camp has been a holding point for those fleeing into Djibouti .
Many come from Somalia, Ethiopia and especially Eritrea -- which is ruled by a one-party state .
Despite the risks, Eritrean refugees say they'd risk their lives with people smugglers ."
"John Pat Cunningham, 73-year-old former soldier, was charged with attempted murder in Northern Ireland. Dennis Hutchings was arrested and released on bail after questioning. The case involves a shooting by an Army officer in 1974 and is reopened following a re-examination of the evidence. Hutchings is expected to face further questioning and a trial.
Copyright: CNN. All rights reserved.
```
```
Article:",4.804279804229736,"John Pat Cunningham, 27, was shot dead by the Army in a field in 1974 .
British government later apologised and investigation re-opened this year .
Dennis Hutchings appeared in court today and was released on bail .
He was arrested in England and taken to Northern Ireland for questioning ."
"This article reports on a controversial UEFA decision to re-replay England Women's U19 European Championship qualifier against Norway after a disallowed penalty. The decision, made after an FA appeal, has complicated the qualification process. The article also highlights the drama of the match and the eventual victory of Bahrain.
Copyright 2007 Reuters. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed.
```
The article is well-written and provides a good overview of the situation.  It is also engaging, with the inclusion of social media comments from Mark Sampson. Good job!
```",6.5913307666778564,"UEFA have ordered the final 18 seconds of the qualifier to be replayed .
England will resume the match against Norway from the penalty spot .
The Elite Round qualifier resumes in Belfast on Thursday at 9:45pm .
Referee Marija Kurtes incorrectly awarded an indirect free-kick to Norway for encroachment after disallowing England's penalty on Saturday .
England were 2-1 down to Norway at the time in the 96th minute .
German Kurtes, 28, has been sent home following her error .
Three Lions earn 3-1 victory against Switzerland meaning a 2-2 will be enough for European Championship qualification .
Norway beat Northern Ireland 8-1 to keep things tight in Group 4 .
It is the first time ever that a decision like this has been taken by UEFA .
Watch VIDEO below of the controversial penalty incident .
READ: Graham Poll's expert verdict on UEFA's bizarre decision ."
"A debate saw the women (Sturgeon, Wood, Bennett) dominate, suggesting a shift towards more measured and less theatrical styles.
Miliband displayed more flamboyant, though ultimately unsuccessful, theatrics and seemed more comfortable with a dominant position.
Cameron's delivery appeared polished, but his gestures suggested he was struggling to manage the performance.
Natalie Bennett displayed more nervous energy.
Experts suggest the women's approach was more successful.
This is an article about a debate between Conservative and Labour leaders and an analysis of the debate’s style and the performance of the participants.
Copyright 2007 CNN. All",6.690062999725342,"Miliband’s approach was as choreographed as a Torville and Dean routine .
Cameron kept firm hand on the leadership rudder and made no mistakes .
Clegg's smooth performance was a complete re-run of his 2010 routine .
Farage was diminished during debate, perhaps the night's only casualty .
Sturgeon, Wood and Bennett took him down with series of small swats .
Sturgeon’s speech about ‘breaking up old boys network' finished off coup ."
"Fake photos abound in NSW floods: Trampoline, crocodile, wave rider, Noah’s Ark, etc.
Storm's effects seen in unexpected places.
Sydney’s selfie culture is being challenged by digital manipulation.
New social media trends capture the chaos of the storm.
Copyright 2007 Reuters.
All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed.
Copyright 2007 Reuters.
All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed.
Copyright 2007 Reuters.
All rights reserved",6.593575954437256,"In the midst of the worst storm in New South Wales in a decade people got creative with their Photoshopping skills .
While there were many genuine dramatic photos of the devastation caused, the fake ones also caused confusion .
The more unbelievable Photoshop jobs included a photo of Noah's ark majestically cruising into Sydney Harbour ."
"Manchester United have implemented a living wage policy for all staff in July. The new policy will pay staff £7.85 an hour.
",1.625931978225708,"Man United will pay their staff at least £7.85 an hour from July .
Premier League clubs will pay their staff living wage from next season .
Chelsea became the first professional club to enforce new ruling .
Manchester City are also committed to paying living wage ."
"Tommy Connolly, a 23-year-old Australian sprinter, took in homeless, pregnant 17-year-old cousin Angela, raised her four-week-old baby boy, and now helps support their combined lives.
",2.5510082244873047,"Tommy Connolly hadn't seen his teenage cousin Angela* in 10 years .
In December she told him she was homeless and 32 weeks pregnant .
The 23-year-old uni student told her to move in with him and supported her .
Now Mr Connolly, who lives on the Sunshine Coast, is helping raise her four-week-old baby boy ."
"Police pulled an unconscious man from the burning wreckage of his car.
The moment footage of a man being pulled from a car showed officers' heroic action.
Valles' mother expressed gratitude for the rescuers.
The driver's condition remains uncertain.
Copyright 2007 CNN. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed. CNN's Morning News contributed to this report.
",4.687035799026489,"Two Mesquite, Texas police officers pulled Hector Valles, 25, from his burning SUV early Sunday after he swerved off the highway and crashed .
Officers Ryan Nielson and Autumn Soto managed to get Valles to safety just before his vehicle became fully engulfed .
Valles, whose clothes were burning when the officers dragged him to safety, is now recovering from burns and internal injuries in ICU ."
"Six-month-old foal, Rupert, is in a pitiable state after being abandoned on a busy road. The rescue team hopes for the foal's survival, and many others are struggling with the cost of keeping horses. The problem of equine abandonment is growing and the rescue organizations need increased funding.
",3.438865900039673,"Increasing costs mean few owners can keep up with looking after a horse .
With dwindling buyers more horses than ever are being abandoned .
Last year, the RSPCA alone took in 1,500, many of them family pets ."
"A video captures a Minneapolis police officer threatening a teenager, resulting in a potential legal conflict for the officer. The video includes a warning and a threat to break a teenager's legs. The incident was reported by a young man, and a complaint has been filed.
Copyright 2007 CBS News. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed. CBS News’ report was based on reports from Fox News.
",4.902780771255493,"Faysal Mohamed, 17, pulled over along with two friends in Minneapolis .
The teens managed to film threatening language used by Officer Rod Webber .
Claim the officers trained their guns on the teenagers but let them go without charge ."
"Rangers reiterate they own their trademarks, and Mike Ashley has been given security over the loan.
Sports Direct acknowledges Rangers' ownership of the club’s trademarks, but the ownership is secured through a loan.
Rangers confirm they will return to the club when the loan is repaid.
```
Copyright 2007 Reuters. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.
```
",4.6959192752838135,"The Ibrox board last week launched a probe into claims Mike Ashley’s firm had taken ownership of intellectual property .
They are satisfied the position stems solely from the security attached to the loan from Sports Direct .
‘Although the trademarks are registered in Sports Direct’s name, the position is not as alarming as it may first appear,' a statement said ."
"Spahic is facing a ban after a video shows him fighting stewards.
Bayer Leverkusen defender is expected to miss matches through injury, but may be sidelined for longer.
",1.9816513061523438,"Emir Spahic appears to aim punches and headbutt at stewards in video .
His Bayer Leverkusen team lost on penalties against Bayern Munich .
Bosnian and his friends became involved in a disagreement with staff .
Police are now set to investigate the fighting and Spahic faces a ban ."
"“Child Mary” died of cocaine and drug use. Agencies failed to adequately share information, leading to a lack of early intervention. Police found evidence of drug use and a syringe on the premises.
Copyright 2007 Reuters. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.
",3.7190704345703125,"Infant, known as Mary, was also found with two other drugs in her system .
She was discharged from hospital despite her parents being drug users .
The family from Liverpool were already well-known to local social services .
Came amid concerns about alcohol abuse, domestic violence and neglect ."
"* A restaurant in Tijuana was raided for selling a dish with dog meat.
* The restaurant owner is facing criminal charges.
* Several people were arrested as well.
* Many complaints about flies and cockroaches were reported to the authorities.
* The incident has sparked a debate about the legality of using dog meat in Mexican cuisine.
* The news agency shot a video of the raid.
* The food service company will be investigating its operations.

Copyright 2007 CNN. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Associated Press contributed to this report.
",6.579559326171875,"Customer witnessed dog being butchered at Lo Yen City restaurant .
It was killed to be served as a pork dish, it has been alleged .
Police raided the restaurant and arrested five people, including the owner .
Officials on the scene discovered a decapitated puppy in a rubbish bin ."
"Builder spotted Jesus Christ on wood. This event followed the first instance of Jesus in a hot cross bun.
",1.2517671585083008,"Paddy Morrall noticed image after wood was left in rain for several hours .
31-year-old said he was not normally a religious guy but it was Easter ."
"1. Rainbows appeared in New York on Tuesday.
2. Chinese professionals are hiring exotic dancers.
3. Kylie Jenner's #KylieJennerChallenge trend is gaining traction.
4. Lip plumping is becoming popular.
5. Alice Barker traveled back in time.
6. Johnny Depp appears in the 'Black Mass' trailer.
7. Casts continue to draw lots of interest on social media.
8. Ewan McGregor will play Lumiere.
9. Military dad photoshopped into a family portrait.
10. Announcement of pregnancy.
Copyright 2023 CNN",6.469116926193237,"What do funeral strippers, a quadruple rainbow and Kylie Jenner have in common? They all trended this week!"
"*   Paul Pogba is on the verge of a transfer to Juventus.
*   La Liga is a battle for Champions League spots.
*   PSG is still a realistic threat to top of La Liga.
*   Benfica faces a tough test against Porto.
*   A Bola faces goals in the Primeira Liga.
*   Paris St. Germain will be in contention for the Champions League.
*   Carlo Ancelotti could return to AC Milan.
",5.157442569732666,"Spanish paper SPORT say Barcelona want to sign Juventus' Paul Pogba .
La Liga leaders are thought to be offering £50million for the midfielder .
Real Madrid are looking to win their last 10 games to overtake Barca ."
"A pensioner pleaded guilty to manslaughter after stabbing his wife to death after she begged him to end her life.
",1.2661223411560059,"Anthony Mann admitted killing his wife Janet who suffered from dementia .
Court heard how she begged for him to bring her suffering to an end .
He stabbed her in the chest after she became distressed at their home .
After stabbing her, Mann, 78, kissed his wife and told her: 'I love you'
Mann pleaded guilty to amended charge of manslaughter with diminished responsibility ."
