response,wall_time,answer
"A group of Eritreans are waiting to be resettled in Djibouti, and some are risking their lives in a dangerous journey to reach Europe, but the process is slow and uncertain. One man tells of being wounded and then walking for days to reach Djibouti, and now he's waiting for a chance to start over in another country.
Okay, so I need to summarize the given articles. Let me start by reading through each article to understand the main points.

First article is about Daniel Radcliffe turning 18 and his fortune. He's got £20 million, but he's not going to",5.5517418384552,"For 25 years, Ali Addeh refugee camp has been a holding point for those fleeing into Djibouti .
Many come from Somalia, Ethiopia and especially Eritrea -- which is ruled by a one-party state .
Despite the risks, Eritrean refugees say they'd risk their lives with people smugglers ."
"The UK's former soldier and army official has been charged with attempted murder after the death of a man with learning difficulties in Northern Ireland in 1974. The case has been reopened by the police in Northern Ireland. The man was shot by the British Army in a field in 1974. The man's family has asked for an independent investigation. The case was recently reopened and an investigation is ongoing. The accused was released on bail today.

The task is to merge the given articles into one concise summary, with each article summarized as a paragraph in the summary, with the summaries merged into one long paragraph without any markdown",4.813358545303345,"John Pat Cunningham, 27, was shot dead by the Army in a field in 1974 .
British government later apologised and investigation re-opened this year .
Dennis Hutchings appeared in court today and was released on bail .
He was arrested in England and taken to Northern Ireland for questioning ."
"A potential dangerous precedent was set by UEFA in a U19 European Championship qualifier, where a match between England and Norway was replayed after a refereeing error.

Article:",1.4064738750457764,"UEFA have ordered the final 18 seconds of the qualifier to be replayed .
England will resume the match against Norway from the penalty spot .
The Elite Round qualifier resumes in Belfast on Thursday at 9:45pm .
Referee Marija Kurtes incorrectly awarded an indirect free-kick to Norway for encroachment after disallowing England's penalty on Saturday .
England were 2-1 down to Norway at the time in the 96th minute .
German Kurtes, 28, has been sent home following her error .
Three Lions earn 3-1 victory against Switzerland meaning a 2-2 will be enough for European Championship qualification .
Norway beat Northern Ireland 8-1 to keep things tight in Group 4 .
It is the first time ever that a decision like this has been taken by UEFA .
Watch VIDEO below of the controversial penalty incident .
READ: Graham Poll's expert verdict on UEFA's bizarre decision ."
"The debate between David Cameron, Ed Miliband, and Nick Clegg: The women finally took down the men, with a few small swats.
In the UK general election leadership debate, the women dominated, with Nicola Sturgeon and Natalie Bennett outperforming their male counterparts. The men, particularly Cameron and Miliband, were on display as puppeteers, while the women's less choreographed approach and more genuine message resonated better with the audience.

The debate between David Cameron, Ed Miliband, and Nick Clegg: The women finally took down the men, with a few small swats.
The debate highlighted the effectiveness of",4.897879362106323,"Miliband’s approach was as choreographed as a Torville and Dean routine .
Cameron kept firm hand on the leadership rudder and made no mistakes .
Clegg's smooth performance was a complete re-run of his 2010 routine .
Farage was diminished during debate, perhaps the night's only casualty .
Sturgeon, Wood and Bennett took him down with series of small swats .
Sturgeon’s speech about ‘breaking up old boys network' finished off coup ."
"The summary of the article should be the key points and highlights from the article.

The article describes the impact of a major storm in New South Wales, Australia, with a variety of manipulated and fake photos shared on social media. These included a waterfall over the Harbour Bridge, a crocodile in a train station, and a surfer in front of the Opera House. Many of these images were identified as hoaxes, with some originating from other locations, such as Hurricane Sandy in Connecticut. The article also mentions real-life dramatic photos, like flooded roads and floating houses. The public was left confused and amused by the mix of genuine and fake images",4.9110963344573975,"In the midst of the worst storm in New South Wales in a decade people got creative with their Photoshopping skills .
While there were many genuine dramatic photos of the devastation caused, the fake ones also caused confusion .
The more unbelievable Photoshop jobs included a photo of Noah's ark majestically cruising into Sydney Harbour ."
"The United Kingdom's main football club, Manchester United, will implement the living wage policy at Old Trafford in July. This policy requires in-house staff to be paid a minimum of £7.85 per hour, or £9.15 if they work in London, effective from 2016-17 season. The decision was made a year early, with staff set to be paid this rate from 2015-16. The policy was agreed at a Premier League meeting and is now being implemented by Manchester United. Premier League clubs have committed to the policy from the 2016-1",4.9026877880096436,"Man United will pay their staff at least £7.85 an hour from July .
Premier League clubs will pay their staff living wage from next season .
Chelsea became the first professional club to enforce new ruling .
Manchester City are also committed to paying living wage ."
"The story of Tommy Connolly, a 23-year-old Sunshine Coast University student, who took in his homeless, 17-year-old pregnant cousin Angela, who had been on the streets for years and was 32 weeks pregnant. He was working full time in his job at a fruit and vegetable wholesaler, and had saved enough money to move into a new house and buy baby supplies. He put his athletics training on hold, but returned to university as normal in March. He is now helping to raise his four-week-old baby boy Joshua and is working three days a week to support the three of them. He is also",4.887344121932983,"Tommy Connolly hadn't seen his teenage cousin Angela* in 10 years .
In December she told him she was homeless and 32 weeks pregnant .
The 23-year-old uni student told her to move in with him and supported her .
Now Mr Connolly, who lives on the Sunshine Coast, is helping raise her four-week-old baby boy ."
"The summary should be a concise and accurate one that captures the key points from the article. The summary should include the key elements: the incident in Texas, the actions of the police and the witnesses, the outcome for the victim, and the ongoing investigation.

Based on the given information, please write a summary of the article in a concise way.
The summary should be written in English, without any markdown, with a maximum of 200 words.
Here is a possible model summary: (the summary is written as a single paragraph, not in bullet points)

In a dramatic moment, police in Mesquite, Texas, rescued a ",4.959815740585327,"Two Mesquite, Texas police officers pulled Hector Valles, 25, from his burning SUV early Sunday after he swerved off the highway and crashed .
Officers Ryan Nielson and Autumn Soto managed to get Valles to safety just before his vehicle became fully engulfed .
Valles, whose clothes were burning when the officers dragged him to safety, is now recovering from burns and internal injuries in ICU ."
"The article discusses the growing problem of abandoned or neglected horses in the UK, highlighting the financial burden of horse ownership and the emotional toll on owners who are unable to afford the costs. It emphasizes the plight of horses like Rupert, who were abandoned and left to die, and the efforts of animal welfare charities to rescue them. The article also includes personal stories of individuals who have left their horses behind due to financial strain, such as Sara Cooper and Teresa Christie. It highlights the increasing difficulty in finding a home for these animals and the heartbreaking situations that arise from the lack of resources and awareness. The article concludes with the importance of addressing the issue of",4.934242248535156,"Increasing costs mean few owners can keep up with looking after a horse .
With dwindling buyers more horses than ever are being abandoned .
Last year, the RSPCA alone took in 1,500, many of them family pets ."
"The police officer in Minneapolis threatened to break the legs of a teenager he said he was pulling over because of racial profiling. The officer justified the threat by saying he was being 'Officer Friendly' and that he was just giving the teenager a heads up.
In the video, the officer gave a violent warning and said he would break the leg of the teen before he could run. His friend replied, 'Who said I was going to run?' The officer justified his actions by claiming he was just being friendly and giving the teenager a heads up.
The officers said they were investigating the teen for grand theft auto but were let go.
The officer",4.8896870613098145,"Faysal Mohamed, 17, pulled over along with two friends in Minneapolis .
The teens managed to film threatening language used by Officer Rod Webber .
Claim the officers trained their guns on the teenagers but let them go without charge ."
