response,wall_time,answer
"Based on the article.

Article: WASHINGTON, D.C. (CNN) -- The White House has announced plans to start a formal campaign for the next presidential term in January. The White House will use the holiday of National Day of the People to launch the campaign, which will also include a televised address on Monday. The campaign is set to be launched in the first three weeks of the year, starting with a speech on the theme ""We are the People"" in January. The White House is also planning to announce a new budget for the 11th term of the presidency in the same period. The budget would be presented on",11.373240232467651,"For 25 years, Ali Addeh refugee camp has been a holding point for those fleeing into Djibouti .
Many come from Somalia, Ethiopia and especially Eritrea -- which is ruled by a one-party state .
Despite the risks, Eritrean refugees say they'd risk their lives with people smugglers ."
"The 73-year-old former soldier, John Pat Cunningham, 27, was charged with attempted murder after the death of a man with learning difficulties in Northern Ireland. The case was opened in Omagh Magistrates Court, and the man was released on bail. The charges were related to the shooting in 1974, and the investigation continues.

Article: LONDON (Reuters) -- A man accused of the murder of a woman in the UK in 1981 was dismissed from his job after being found guilty of conspiracy to kill with a child. A 41-year-old man, Richard Burch,",10.906980514526367,"John Pat Cunningham, 27, was shot dead by the Army in a field in 1974 .
British government later apologised and investigation re-opened this year .
Dennis Hutchings appeared in court today and was released on bail .
He was arrested in England and taken to Northern Ireland for questioning ."
"The UEFA decision to replay a match in a 18-second final qualifier after a referee's mistake has been ordered. The match will be replayed at 9:45pm at Seaview stadium in Belfast, with England taking the 96th minute penalty after a mistake. The 18-second match was England's 3-1 victory over Switzerland, with the goal awarded by the referee during the penalty and the match restarted at 2-1 after a mistake. This decision marks a new precedent in a UEFA competition, as the match was initially replayed from the minute of the penalty. The match was initially",9.723905563354492,"UEFA have ordered the final 18 seconds of the qualifier to be replayed .
England will resume the match against Norway from the penalty spot .
The Elite Round qualifier resumes in Belfast on Thursday at 9:45pm .
Referee Marija Kurtes incorrectly awarded an indirect free-kick to Norway for encroachment after disallowing England's penalty on Saturday .
England were 2-1 down to Norway at the time in the 96th minute .
German Kurtes, 28, has been sent home following her error .
Three Lions earn 3-1 victory against Switzerland meaning a 2-2 will be enough for European Championship qualification .
Norway beat Northern Ireland 8-1 to keep things tight in Group 4 .
It is the first time ever that a decision like this has been taken by UEFA .
Watch VIDEO below of the controversial penalty incident .
READ: Graham Poll's expert verdict on UEFA's bizarre decision ."
"Based on the article: The women won the debate. Their less choreographed style gave the impression we were listening to real messages from real people rather than watching spin doctors' puppets performing.

Based on the article: The women took down the leaders during the debate.
Based on the article: The debate was won by Miliband's coaching team.
Based on the article: The women's style of body language gave the impression that the debate was real and not spin doctors' puppets.

Based on the article: The debate was won by Clegg's team.

Based on the article: The debate was won by Farage's team.

Based on",6.91524076461792,"Miliband’s approach was as choreographed as a Torville and Dean routine .
Cameron kept firm hand on the leadership rudder and made no mistakes .
Clegg's smooth performance was a complete re-run of his 2010 routine .
Farage was diminished during debate, perhaps the night's only casualty .
Sturgeon, Wood and Bennett took him down with series of small swats .
Sturgeon’s speech about ‘breaking up old boys network' finished off coup ."
"Based on the article:

Summary: A series of fake photos from a worst Sydney storm emerge that are being shared online. The photos include a family-sized trampoline, a crocodile, and a wave rider surfing in front of the Opera House. Some are real, others are created with Photoshop. The images are being used as a hashtag: #SydneyStorm is getting pretty serious now.
Based on the article: the three journalists, flight crew and six members of Zoe's Ark were arrested in Chad.

Article: LONDON, England (CNN) -- French Foreign Minister Bernard Kouchner's declaration that France had to prepare for the possibility",10.699772357940674,"In the midst of the worst storm in New South Wales in a decade people got creative with their Photoshopping skills .
While there were many genuine dramatic photos of the devastation caused, the fake ones also caused confusion .
The more unbelievable Photoshop jobs included a photo of Noah's ark majestically cruising into Sydney Harbour ."
"Article: Manchester United are to introduce living wage at Old Trafford. The living wage is set to be paid from July. Supporters had planned to demonstrate. The first club in England to pay living wage to all staff. The agreement is between Manchester United and City. Supporters plan to demonstrate.

Article: LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on him. Daniel Radcliffe as Harry Potter in ""Harry Potter and the Order of the Phoenix",8.429288625717163,"Man United will pay their staff at least £7.85 an hour from July .
Premier League clubs will pay their staff living wage from next season .
Chelsea became the first professional club to enforce new ruling .
Manchester City are also committed to paying living wage ."
"The story told about a young man named Tommy Connolly who took in his 17-year-old cousin, Angela, who was pregnant and homeless. He helped raise her baby, and now he's helping raise another child with the same situation. He mentions his brother's GoFundMe fundraising effort and how it's helping support the family. The 23-year-old student is a champion sprinter and he shares his story with others in Australia.
Answer:
The summary is as follows:

The story tells about a young man named Tommy Connolly who took in his 17-year-old cousin, Angela, who was pregnant and homeless.",6.533705234527588,"Tommy Connolly hadn't seen his teenage cousin Angela* in 10 years .
In December she told him she was homeless and 32 weeks pregnant .
The 23-year-old uni student told her to move in with him and supported her .
Now Mr Connolly, who lives on the Sunshine Coast, is helping raise her four-week-old baby boy ."
"**Summary:**
A 25-year-old man, Hector Valles, was found unconscious in a car burning after he swerved off a highway and crashed into a steel pillar. His mother, Olivia Valles, thanked the Mesquite police officers for his rescue.

Article: The video shows officers in Texas driving to the location of an SUV that was involved in a crash, and the drivers are able to free the man from the car and take him to safety. The incident highlights a heroic rescue from a burning car.

Article: The police in Texas found an unconscious man in a burning car, and they managed to free him. The",10.089597463607788,"Two Mesquite, Texas police officers pulled Hector Valles, 25, from his burning SUV early Sunday after he swerved off the highway and crashed .
Officers Ryan Nielson and Autumn Soto managed to get Valles to safety just before his vehicle became fully engulfed .
Valles, whose clothes were burning when the officers dragged him to safety, is now recovering from burns and internal injuries in ICU ."
"The article discusses a situation where a six-month-old foal is abandoned and left to fend for itself, with the rescue efforts of the RSPCA. The situation highlights the growing problem of abandoned horses and ponies in the UK, driven by financial costs, and the challenges faced by those who try to keep them, including the RSPCA's urgent appeal.
Answer:

The article describes a crisis in equine welfare, focusing on abandoned horses and ponies in the UK, and the RSPCA's urgent appeal to rehome many of these animals. The situation highlights the financial burden on individuals and the difficult choices they face in maintaining",8.948225736618042,"Increasing costs mean few owners can keep up with looking after a horse .
With dwindling buyers more horses than ever are being abandoned .
Last year, the RSPCA alone took in 1,500, many of them family pets ."
"This article reports on a Minneapolis police officer threatening a teenager and his friends because of racial profiling. The officer's actions were violent and aggressive.

Article: CNN reports that a 20-year-old French citizen from the Democratic Republic of Congo was arrested on charges of trafficking children in Africa. The girl, Mohamed Mekonnen, 20, was arrested in the southern city of Kinshasa, where she was trafficked from the Democratic Republic of Congo. The charges include trafficking and child abuse, and she was previously a student at the University of Paris. The UNICEF said that the trafficked children are 10 years old",12.267364263534546,"Faysal Mohamed, 17, pulled over along with two friends in Minneapolis .
The teens managed to film threatening language used by Officer Rod Webber .
Claim the officers trained their guns on the teenagers but let them go without charge ."
