response,wall_time,answer
"*   Ali Addeh refugee camp provides a record of Eritrean migrants seeking resettlement.
*   The camp has been a holding point for 20 new migrants since 2018.
*   Henol's friend Soloman died attempting to reach Europe.
*   Eritrea is a repressive regime with a dictator and forced military conscription.
*   The camp's commander accused the man of insubordination and physically assaulted him.

Article: A new research paper has revealed a startling connection between climate change and the decline of the honeybee population. The study, published in *Nature*, suggests",22.24955129623413,"For 25 years, Ali Addeh refugee camp has been a holding point for those fleeing into Djibouti .
Many come from Somalia, Ethiopia and especially Eritrea -- which is ruled by a one-party state .
Despite the risks, Eritrean refugees say they'd risk their lives with people smugglers ."
"John Pat Cunningham, a former soldier, is charged with attempted murder in Northern Ireland. Dennis Hutchings was arrested after being charged with the death of a man with learning difficulties.
",6.460909605026245,"John Pat Cunningham, 27, was shot dead by the Army in a field in 1974 .
British government later apologised and investigation re-opened this year .
Dennis Hutchings appeared in court today and was released on bail .
He was arrested in England and taken to Northern Ireland for questioning ."
"UEFA has ordered a re-play of England Women U19's match against Norway after a penalty was disallowed.  The decision is due to the referee's incorrect application of the rules, leading to a complex qualification process for the European Championship.  The match will be played on Thursday at 9:45pm, with the 11-player lineup to be used.
Copyright 2007 CNN. All rights reserved.
ESPN contributed to this report.
",13.570363759994507,"UEFA have ordered the final 18 seconds of the qualifier to be replayed .
England will resume the match against Norway from the penalty spot .
The Elite Round qualifier resumes in Belfast on Thursday at 9:45pm .
Referee Marija Kurtes incorrectly awarded an indirect free-kick to Norway for encroachment after disallowing England's penalty on Saturday .
England were 2-1 down to Norway at the time in the 96th minute .
German Kurtes, 28, has been sent home following her error .
Three Lions earn 3-1 victory against Switzerland meaning a 2-2 will be enough for European Championship qualification .
Norway beat Northern Ireland 8-1 to keep things tight in Group 4 .
It is the first time ever that a decision like this has been taken by UEFA .
Watch VIDEO below of the controversial penalty incident .
READ: Graham Poll's expert verdict on UEFA's bizarre decision ."
"The debate between Nicola Sturgeon, David Cameron, and Ed Miliband was largely dominated by the women. The debate was characterized by a lack of overt showmanship and a focus on genuine conversation and body language. Natalie Bennett was the clear standout performer, while the other two contestants demonstrated greater strategic thinking in how they presented themselves. The debate’s analysis showed that the women had a stronger presence, reflecting the dominance of a more understated approach.
Copyright 2007 CNN. All rights reserved.
The article provides a detailed analysis of the debate, including a discussion of body language, strategy, and performance.
",11.756231784820557,"Miliband’s approach was as choreographed as a Torville and Dean routine .
Cameron kept firm hand on the leadership rudder and made no mistakes .
Clegg's smooth performance was a complete re-run of his 2010 routine .
Farage was diminished during debate, perhaps the night's only casualty .
Sturgeon, Wood and Bennett took him down with series of small swats .
Sturgeon’s speech about ‘breaking up old boys network' finished off coup ."
"Fake Photos: Fake photos depicting a wave rider surfing in front of Sydney’s Opera House, a trampoline blown into the sky, a crocodile stalking flood water inside a train station, and a wave rider surfing in front of Noah's Ark, which was photographed in Milford, Connecticut, USA, are being shared online.
Copyright information for all reported photos.
The report also covered photos depicting the Bondi prank, which involved a trampoline blown into the sky, and a wave rider surfing in front of the Sydney Opera House.
Final Thoughts on the storm.
```
Copyright 2007 Reuters. All rights reserved.This",19.945467948913574,"In the midst of the worst storm in New South Wales in a decade people got creative with their Photoshopping skills .
While there were many genuine dramatic photos of the devastation caused, the fake ones also caused confusion .
The more unbelievable Photoshop jobs included a photo of Noah's ark majestically cruising into Sydney Harbour ."
"Manchester United to introduce living wage in July. City become first Premier League clubs to pay living wage.
Copyright 2007 Reuters
This material may not be published, broadcast, rewritten, or redistributed.
Associated Press contributed to this report.
",6.7867631912231445,"Man United will pay their staff at least £7.85 an hour from July .
Premier League clubs will pay their staff living wage from next season .
Chelsea became the first professional club to enforce new ruling .
Manchester City are also committed to paying living wage ."
"Tommy Connolly helps homeless, pregnant 17-year-old woman Angela, raised her four-week-old baby boy Joshua. The episode has garnered attention on social media and has produced numerous messages of support.
",3.460057020187378,"Tommy Connolly hadn't seen his teenage cousin Angela* in 10 years .
In December she told him she was homeless and 32 weeks pregnant .
The 23-year-old uni student told her to move in with him and supported her .
Now Mr Connolly, who lives on the Sunshine Coast, is helping raise her four-week-old baby boy ."
"Police rescue unconscious man from burning car in Texas. Police officers struggle to extricate the man and bring him to safety.
Copyright 2007 CNN. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.
",3.864072561264038,"Two Mesquite, Texas police officers pulled Hector Valles, 25, from his burning SUV early Sunday after he swerved off the highway and crashed .
Officers Ryan Nielson and Autumn Soto managed to get Valles to safety just before his vehicle became fully engulfed .
Valles, whose clothes were burning when the officers dragged him to safety, is now recovering from burns and internal injuries in ICU ."
"New Article: Six-month-old foal abandoned on road, dies of malnutrition and worms. The story highlights the struggles of horse owners and animal welfare.
New Article: Sarah Cooper struggles with financial issues and provides an example of the financial pressure faced by horse owners.
New Article: Fiona Oakes recounts her experience and offers advice to prevent the future occurrence of this event.
",12.055051326751709,"Increasing costs mean few owners can keep up with looking after a horse .
With dwindling buyers more horses than ever are being abandoned .
Last year, the RSPCA alone took in 1,500, many of them family pets ."
"Cellphone footage appears to show a Minneapolis police officer threatening a teenager in a car. The teen claims he was pulled over for racial profiling. The officer stated that he was trying to be ""Officer Friendly"" but was aggressive. A complaint has been filed.
Copyright 2007 CNN. All rights reserved.
E-mail to a friend.
",6.712564706802368,"Faysal Mohamed, 17, pulled over along with two friends in Minneapolis .
The teens managed to film threatening language used by Officer Rod Webber .
Claim the officers trained their guns on the teenagers but let them go without charge ."
"Rangers insist that their fans have no cause for alarm.
Sports Direct is satisfied with the situation, as the loan security protects their trademark rights.
The Rangers board wants to discuss ownership with Sports Direct within two weeks.
The club’s trademark and badge remain firmly in Rangers’ ownership.
Fans can be reassured.
Copyright 2007 Reuters. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed.
Rangers website provided the article.
Copyright 2007 Reuters. All rights reserved.
This material may not be published, broadcast, rewritten, or",12.39382553100586,"The Ibrox board last week launched a probe into claims Mike Ashley’s firm had taken ownership of intellectual property .
They are satisfied the position stems solely from the security attached to the loan from Sports Direct .
‘Although the trademarks are registered in Sports Direct’s name, the position is not as alarming as it may first appear,' a statement said ."
"Spahic is facing a potential ban after a video of him fighting with stewards after a match against Bayern Munich. The incident has been referred to the public prosecutor, and a lengthy ban is possible.
Copyright 2007 CNN. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed. CNN's Al Goodman contributed to this report.
",5.19481897354126,"Emir Spahic appears to aim punches and headbutt at stewards in video .
His Bayer Leverkusen team lost on penalties against Bayern Munich .
Bosnian and his friends became involved in a disagreement with staff .
Police are now set to investigate the fighting and Spahic faces a ban ."
"A review of the deaths of several babies born in Liverpool has highlighted significant gaps in how agencies share information and support vulnerable families. Baby Mary died with traces of cocaine in her stomach despite her parents being reported to social services. Agencies showed poor coordination and a failure to effectively monitor missed appointments which may have resulted in the child’s death. New findings recommend improvements in multi-agency working and enhanced follow-up services.
Copyright 2007 CNN. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.
",12.198587656021118,"Infant, known as Mary, was also found with two other drugs in her system .
She was discharged from hospital despite her parents being drug users .
The family from Liverpool were already well-known to local social services .
Came amid concerns about alcohol abuse, domestic violence and neglect ."
"Restaurant customer confronts owner over dog meat; six Chinese restaurants closed; police raid includes decapitated dog.
",1.9766755104064941,"Customer witnessed dog being butchered at Lo Yen City restaurant .
It was killed to be served as a pork dish, it has been alleged .
Police raided the restaurant and arrested five people, including the owner .
Officials on the scene discovered a decapitated puppy in a rubbish bin ."
"New: Builder spotted Jesus Christ on a board.
New: Multiple people have seen Jesus Christ on wood in Scotland.
New: Builder is known for taking an unusual approach to his job.
",11.389041185379028,"Paddy Morrall noticed image after wood was left in rain for several hours .
31-year-old said he was not normally a religious guy but it was Easter ."
"The article includes a weather phenomenon (rainbows), a trend related to sex work (strippers), a social media moment (Kylie Jenner challenge), a historical reenactment (Alice Barker), casting developments (EPM), and a pop culture reference (Lumiere).
Copyright 2007 CNN. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed.
",15.72994875907898,"What do funeral strippers, a quadruple rainbow and Kylie Jenner have in common? They all trended this week!"
"1.  Pogba is on the shortlist for Barcelona, with Chelsea likely to be the final destination.
2.  L'Equipe highlights a challenging April schedule for PSG.
3.  Benfica look to keep their title challenge after facing Porto struggles.
4.  A Bola are focusing on Gaitan's role for Benfica.
5.  PSG consider Tevez as a possible destination.
6.  Roma-Napoli showdown is a crucial weekend in Italy.
Copyright 2007 CNN. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Associated",18.483725547790527,"Spanish paper SPORT say Barcelona want to sign Juventus' Paul Pogba .
La Liga leaders are thought to be offering £50million for the midfielder .
Real Madrid are looking to win their last 10 games to overtake Barca ."
"Anthony Mann pleaded guilty to manslaughter. He stabbed his wife to death. Police discovered him in the kitchen with a knife. The woman died from a stab wound. The family has expressed relief.

Article: A controversial plan to build a massive artificial reef off the coast of Hawaii has ignited fierce debate and protests, raising serious questions about the environmental impact. The project, dubbed ""Ocean's Embrace,"" involves constructing a vast network of artificial structures - mainly rock formations and tunnels - to attract marine life and restore coral reef habitats. Proponents argue that the reef could create a sustainable tourism industry, generate revenue for local communities, and boost Hawaii’",10.55543303489685,"Anthony Mann admitted killing his wife Janet who suffered from dementia .
Court heard how she begged for him to bring her suffering to an end .
He stabbed her in the chest after she became distressed at their home .
After stabbing her, Mann, 78, kissed his wife and told her: 'I love you'
Mann pleaded guilty to amended charge of manslaughter with diminished responsibility ."
"The article argues that the U.S. is consistently failing to provide sufficient special operations capacity to its partners, and that this is a key driver of the rise in terrorist activity. The proposed solution is to create a dedicated program that builds out these capabilities and provides long-term funding. The article contends that current funding strategies are insufficient and that Congress needs to act to bolster U.S. security assistance to key partners.
Copyright 2007 CNN. All rights reserved.
",23.377366304397583,"Meaghan Keeler-Pettigrew, Stuart Bradin: U.S. must rethink special forces .
United States is spreading foreign military assistance too thin, they say ."
"A Yazidi girl recounts how ISIS terrorists forced her to be dragged by her hair, raped, and sold to become sex slaves. The girl and six others were taken to a warehouse in Mosul and forced into line-up for forced marriage.
",14.30841875076294,"ISIS snatched dozens of girls after storming the town of Sinjar last August .
Taken to warehouse where they were lined up and hand picked by fighters .
Survivor says she shakes with fear when she sees 'someone with a beard'"
"Wozniacki defended herself after congratulating Spieth on his Masters win.
Spieth's victory in the Masters was a record-breaking achievement.
Caroline Wozniacki acknowledged it wasn't a dig at Rory McIlroy.
There was a history of romance between Wozniacki and McIlroy.
Spieth presented Wozniacki with the green jacket.
Copyright 2007 CNN. All rights reserved.
Watch a report on the golf competition.
The article was written by Andrew J. Wilson.
E-mail to a friend.
Copyright 200",19.655612230300903,"Caroline Wozniacki took to Twitter to congratulate golfer Jordan Spieth .
Spieth won the first major of his career at the Masters in Augusta .
But fans were quick to question Wozniacki's motives following his win .
Many asked whether it was a dig at former fiancee Rory McIlroy .
CLICK HERE for more news and reaction to Masters 2015 ."
"Police are searching for a 14-year-old schoolgirl, Sally Gordon-Smith, who was last seen leaving school in Keilor East. She was last seen wearing blue jeans, a black jumper and black shoes. Police are concerned for her due to her age.
",6.4380042552948,"Police worried about teen girl who has been missing since Friday afternoon .
Sally Gordon-Smith, 14, was last seen leaving her school near Melbourne .
Police confirmed she was still missing early on Saturday morning .
An image of Ms Gordon-Smith released in the hopes of finding her quickly ."
"A new documentary follows three young entrepreneurs as they navigate the world of tech investment. Robyn Exton (Dattch) is moving to San Francisco, and Josh Buckley (MinoMonsters) is looking to take his fortune to the next level.  The documentary explores the challenges, setbacks, and ultimate ambitions of these young entrepreneurs.
Copyright 2007 CNN. All rights reserved.
",6.45664381980896,"How To Be A Young Billionaire airs tonight on Channel 4 .
Documentary features Robyn Exton, who's launching a lesbian dating app .
Tech entrepreneur Josh Buckley attempts to save his shrinking fortune ."
"A Bronze & leather buckle and a bronze whistle were found at the Rising Whale site in Alaska, suggesting trade between East Asia and the New World occurred centuries before Columbus. The finds support earlier evidence of trade with the Bering Sea. A controversial theory about Chinese voyages to the Americas is being debated, with the rise of an archaeological hypothesis regarding the continent’s earliest inhabitants. The discovery offers a new look at the origins of the Americas.
Copyright 2007 CNN. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.
```
```
```

This is a well-written and informative",16.55823040008545,"Bronze buckle and whistle from AD 600 found in Cape Espenberg .
But bronze-working had not been developed at this time in Alaska .
Scientists believe artefacts were created in China, Korea or Yakutia .
Site may have been home to 'Birnirk' culture, whose people travelled on both sides of the Bering Strait ."
"Sportsmail has teamed up with Golfbidder to offer a golf club bundle worth over £1,300. A lucky reader can win a bundle including Callaway golf clubs and accessories. Golfbidder.co.uk also offers golf balls as part of the prize bundle. This offer is available at Golfbidder.co.uk.
Copyright 2007 Sportsmail. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed.
",15.721999406814575,"Sportsmail have teamed up with Golfbidder for the giveaway .
The exclusive bundle includes a Callaway XR Driver, Callaway XR 3 Wood, Callaway XR Hybrid and a set of Callaway XR Irons .
A dozen Callaway Chrome Soft golf balls is also included .
CLICK HERE TO ENTER THE COMPETITION ."
"A dancer posted has become a sensation online after a short video of him doing a dance with a customer. The footage shows him dancing to Michael Jackson's ""Don't Stop 'Til You Get Enough.""
",3.0878677368164062,"Postman Adam Prowse danced with customer Nichola Sullings .
Pair boogied to Michael Jackson’s 'Don't Stop 'Til You Get Enough'
Adam has since received much admiration from female viewers .
Royal Mail said: ‘It is a pleasure to have him working for us’"
"Lancashire have signed James Faulkner for the bulk of this summer. Faulkner will be joining after his commitments to the IPL.
",7.298772573471069,"James Faulkner joins Lancashire as their overseas player for the summer .
Australian was named man of the match during World Cup final win .
He will join up with county side after Indian Premier League commitments ."
"8 Nauru guards suspended after posting anti-Islamic content on social media; pictured with Pauline Hanson at a Reclaim Australia rally.
Former staffer alleges guards frequently accused Muslims of being Nazis, targeting Halal products.
Guard posted racist imagery and comments on Facebook.
Security measures have been implemented to prevent similar behavior.
The news is a concerning event and the guards have been removed from their positions.
This event is a part of a larger narrative in response to government policies on immigration and refugees.
Copyright 2007 CNN. All rights reserved.
The Associated Press contributed to this report.
The Guardian Australia",17.23574924468994,"Eight guards at Nauru detention centre have been suspended .
They posted 'anti-Islamic' messages on social media and were pictured with Pauline Hanson at a recent Reclaim Australia rally .
The men contravened a policy that they display 'cultural sensitivity'"
"The teaching union is raising concerns about children’s unhealthy consumption of energy drinks and its impact on behaviour and wellbeing. Many students are experiencing negative effects due to high caffeine and energy drink intake, potentially resulting in heart problems.
Copyright 2007 CNN. All rights reserved.
",12.444495439529419,"Children drink 'excessive' amounts of energy drinks, teachers' union claim .
Drinks like Red Bull, Monster and Relentless are causing 'hyperactivity'
NASUWT likened caffeinated refreshments to 'readily available legal highs'
Of teachers surveyed 13% cited energy drinks as cause of bad behaviour ."
"Davy Jones memorabilia will be sold at an auction. Fans can bid on framed photos, Memorabilia, a plate and other items.
Copyright 2007 CNN. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed.
```
```
```
```
```
```
```
```
```
```
```
```

```
```
```
```
```
```

```
```
```
```
```
```

```
```
```
```
```
```
```
```
```

```
```
```
",20.61047863960266,"Items belonging to Davy Jones are to go on sale at an auction in New York .
British-born Jones best known for being member of the band The Monkees .
Memorabilia includes guitars, stage costumes and commemorative plaques .
Jones, who became a teen idol in the 1960s, died in 2012 at the age of 66 ."
"Joni Mitchell hospitalized in Southern California and is currently in intensive care. Her fans are sending good wishes.
",1.5652410984039307,"Mitchell is best know for her hits ""Big Yellow Taxi"" and ""Free Man in Paris""
Paramedics came to her Los Angeles home on Tuesday afternoon ."
"Archaeologists have uncovered the complete skeleton of a 17th-century camel that was likely used in the second Ottoman-Habsburg war.  The camel was a Bactrian-dromedary hybrid, a breed popular in the Ottoman army. The discovery was made during an archaeological dig in Tulln, Austria. The find is significant because it is the first complete camel skeleton found in central Europe.",5.045317649841309,"Scientists say camel was left in Tulln after the 1683 siege of Vienna .
It would have shocked residents as camels were an alien species .
'They didn't know what to feed it or whether one could eat it,' study said .
Ottoman army used camels for transportation and as riding animals ."
"French photographer Dieter Klein travelled the world to find abandoned cars, including a rare Jaguar XK120 and a fleet of war-era vehicles.  Cars have been scattered across Europe and the USA, and have become covered in moss and lichen.  The photographer has found sites where cars have been dumped on forests, fields, and in abandoned towns. His travels were sparked by his initial discovery of a Citroen truck in a bush. The photographer believes that the process of abandonment is both a mystery and a beauty.  
Copyright 2007 Reuters. All rights reserved.
",15.104828834533691,"German photographer Dieter Klein travelled the world to find vintage cars left to crumble in leafy forests and fields .
Came across range of graveyards hosting all sorts of vehicles, including Jaguar XK120 worth £82,000 if restored .
Dieter, 57, from Cologne, first came across a Citroen truck dumped in a bush six years ago and became hooked ."
"Research indicates societies with less access to food and water are more likely to embrace all-powerful deities. Ecological factors play a key part in this interaction, leading to similar distribution of beliefs across different cultures.
",8.414977788925171,"Study was conducted by National Evolutionary Synthesis Centre, Durham .
It suggests that societies with less access to food and water are more likely to believe in all-powerful, moralistic deities .
Research also uncovered link between a belief in high gods who enforce a moral code and  a strong social hierarchy ."
"Spanish woman shot her husband, baby, and daughter in Gibraltar before taking her own life. Initial reports suggested Mr. Shannon was responsible, but police believe Perez Friman suffered a psychotic episode. The family was found dead on Monday.
Copyright: CNN. All rights reserved.
This material may not be published, broadcast, rewritten, or redistributed.
Copyright 2007 CNN. All rights reserved.
",24.120954513549805,"Spanish woman allegedly stabbed British partner and two children .
The family were found dead in a flat in Gibraltar earlier this week .
Anarda De La Caridad Perez Friman 'suffered from post-natal depression'
British man identified as John Joseph Shannon, 31, from Liverpool ."
"A 65-year-old cosmetic dermatologist died in Miami after a self-harming incident.
The death was ruled a suicide by hanging.
The incident reveals a surprising backstory of Dr. Brandt's past, highlighting his passion for artistry and his unique techniques.
Dr Brandt had a life filled with fame and notoriety, appearing in numerous movies and television shows.
The news comes as a devastating blow to the community and is being mourned by fans of the doctor.
Sources and analyses of the situation.
E-mail to a friend. Copyright 2007 CNN. All rights reserved.
```",10.053625106811523,"Cosmetic dermatologist to the stars Fredric Brandt was found dead at his Coconut Grove home in Miami on Sunday, aged 65 .
Joy Behar tweeted: 'Dr Brandt was one of the sweetest, nicest, most generous people I have had the good fortune to meet & work with. He will be sorely missed'
Kelly Ripa, posted: 'My heart is breaking for the loss of Dr. Fredric Brandt. My friend. You will be missed forever and in my heart even longer'
Colleague Dr Robert Anolik, who worked with Brandt at his clinic, posted a moving tribute on Monday saying he had lost a 'close friend'
The City of Miami Police Department confirmed that Dr Brandt's death on Sunday was a suicide by hanging .
Brandt was said to have been 'devastated' over rumors comparing him to a character on the show, Unbreakable Kimmy Schmidt ."
"Anzac Day will not be a public holiday this year, due to an agreement made in 1993.  The government of Queensland will see a 20-25% rise in absenteeism on Monday.
",3.760521173477173,"There is no Anzac Day holiday for most states as it falls on a Saturday .
Only Western Australia and some Canberra bureaucrats will get day off .
First time since 2009 Anzac Day has fallen on a Saturday .
Experts predict rise of up to 25 per cent of people calling in sick on Monday .
Some businesses told staff they risk their job if they fake a sick day .
Losses from absent employees estimated at $7.5m in Queensland alone ."
"Roofing boss has altered website to expose ex-boyfriend for infidelity.
Ex-boyfriend Meade changed website to shame boss.
Miss Morgan says she was trying to hurt him, but now wants to get rid of him and take him away.
Website now says Meade changes addresses every few months.
Mr Meade is currently married, and his estranged wife is not yet divorced.

Article: Researchers at the University of California, Irvine, have discovered a new type of brain activity that could be linked to depression, raising hopes for early detection and treatment. The research, published this week in *Nature Neuroscience*, involved a study of 2",13.487454891204834,"Lisa Morgan, 40, amended site to claim her boyfriend had been unfaithful .
Top of the World Roofing website says it's 'ceased trading at present'
Site now claims boss was 'unfortunately found out to be cheating again'
Met Sean Meade, 45, in August but soon grew wary when he was never in .
Contacted his estranged wife, Jo, who told her he had cheated on her too ."
"Three young English Premier League players (Calum Chambers, John Stones and Eric Dier) have all enjoyed excellent seasons. They represent Arsenal, Everton and Tottenham respectively. The three players' development is encouraging due to their self-belief and progress. Dier's rise has been particularly impressive, with him growing from a promising squad player to a first-team regular at Tottenham. Stones's move to the heart of the defence has been spectacular, he has gained tactical versatility and is quickly becoming one of the most valuable players in the team. Chambers's experience at Arsenal is a key consideration, with the manager looking to utilize his skills in midfield",25.585615158081055,"Calum Chambers has played 35 times already for Arsenal this season .
Eric Dier has become an important first-team player at Tottenham .
John Stones has impressed for Everton after being moved to the middle ."
"Ronaldo and Zidane joined in the 12th annual Match Against Poverty.
Players have been participating in a charity match in Saint-Etienne.
Ronaldo celebrates after finding the back of the net.
Players included Seedorf, Zidane, Okocha, Zambrotta, and many others.
Goals were plentiful, with Aubameyang grabbing a hat-trick for the winning team.
Players were celebrating with fans.
The Match Against Poverty has a very rich history
E-mail to a friend. Copyright 2007 CNN. All rights reserved.
This material may not be published, broadcast,",21.863808631896973,"A host of footballing legends graced the field to raise money for charity .
Bazilian Ronaldo and Zinedine Zidane were among the stars taking part .
Clarence Seedorf, Fabian Barthez and Gianluca Zambrotta also played .
As did Jay-Jay Okocha, David Trezeguet and Vladimir Smicer ."
"New fashion designer Kylie Gulliver is making a splash with her leather brand Elliott Label, partnered with celebrity actress Robin Antin, and its rapidly growing popularity.
",4.924293756484985,"Melbourne based fashion brand Elliott Label makes it in Hollywood .
Founder Kylie Gulliver has partnered with Pussycat Dolls' Robin Antin .
The pair initially met through Instagram .
Stars including Drew Barrymore and Mimie Elashiry attended US launch .
The luxe label features leather staples and tailored pieces in range .
Next the design duo are set to launch sport range ."
"Floyd Mayweather and Manny Pacquiao are battling for the richest fight in boxing history.
Mayweather’s spending habits are widely documented; he is a lavish spender.
Mayweather focuses on business and real estate investments.
Pacquiao focuses on charity work through the Official Manny Pacquiao Foundation.
Pacquiao’s political ambitions are growing.
",10.188086032867432,"Floyd Mayweather takes on Manny Pacquiao in Las Vegas on May 2 .
The two men will split a $300m purse, with Mayweather taking 60 per cent .
The fight has been five years in the making and was agreed in February .
It pits the two pound-for-pound boxers in the world against each other .
Mayweather-Pacquiao is 11 days away... why are there no tickets on sale?"
